[2024-11-25T17:49:19.285+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file manual__2024-11-25T17:49:10.430172+00:00 [queued]>
[2024-11-25T17:49:19.301+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file manual__2024-11-25T17:49:10.430172+00:00 [queued]>
[2024-11-25T17:49:19.301+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-11-25T17:49:19.320+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonSensor): detect_file> on 2024-11-25 17:49:10.430172+00:00
[2024-11-25T17:49:19.334+0000] {standard_task_runner.py:57} INFO - Started process 1174 to run task
[2024-11-25T17:49:19.363+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'drift_detection_dag', 'detect_file', 'manual__2024-11-25T17:49:10.430172+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/drift-detection.py', '--cfg-path', '/tmp/tmpw61q0l39']
[2024-11-25T17:49:19.379+0000] {standard_task_runner.py:85} INFO - Job 5: Subtask detect_file
[2024-11-25T17:49:19.483+0000] {task_command.py:416} INFO - Running <TaskInstance: drift_detection_dag.detect_file manual__2024-11-25T17:49:10.430172+00:00 [running]> on host 52f638c944a9
[2024-11-25T17:49:19.639+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='drift_detection_dag' AIRFLOW_CTX_TASK_ID='detect_file' AIRFLOW_CTX_EXECUTION_DATE='2024-11-25T17:49:10.430172+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-25T17:49:10.430172+00:00'
[2024-11-25T17:49:19.643+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T17:50:19.697+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T17:51:19.753+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T17:52:19.776+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T17:53:19.832+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T17:54:19.890+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T17:55:19.949+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T17:56:20.008+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T17:57:20.067+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T17:58:20.143+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T17:59:20.183+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:00:20.241+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:01:20.299+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:02:20.360+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:03:20.416+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:04:20.471+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:05:20.528+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:06:20.586+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:07:20.644+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:08:20.701+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:09:20.762+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:10:20.815+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:11:20.876+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:12:20.932+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:13:20.990+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:14:21.034+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:15:21.089+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:16:21.144+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:17:21.202+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:18:21.260+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:19:21.319+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:20:21.378+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:21:21.434+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:22:21.492+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:23:21.551+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:24:21.599+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:25:21.657+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:26:21.715+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:27:21.723+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:28:21.785+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:29:21.839+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:30:21.897+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:31:21.955+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:32:22.013+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:33:22.071+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:34:22.129+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:35:22.187+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:36:22.246+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:37:22.303+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:38:22.360+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:39:22.418+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:40:22.475+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:41:22.533+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:42:22.539+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:43:22.599+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:44:22.656+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:45:22.718+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:46:22.722+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:47:22.779+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:48:22.837+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:49:22.896+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:50:22.954+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:51:23.012+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:52:23.071+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T18:53:23.121+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
