[2024-11-25T17:22:33.156+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file scheduled__2024-11-24T16:00:00+00:00 [queued]>
[2024-11-25T17:22:33.196+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file scheduled__2024-11-24T16:00:00+00:00 [queued]>
[2024-11-25T17:22:33.197+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-11-25T17:22:33.236+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonSensor): detect_file> on 2024-11-24 16:00:00+00:00
[2024-11-25T17:22:33.254+0000] {standard_task_runner.py:57} INFO - Started process 178 to run task
[2024-11-25T17:22:33.260+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'drift_detection_dag', 'detect_file', 'scheduled__2024-11-24T16:00:00+00:00', '--job-id', '4', '--raw', '--subdir', 'DAGS_FOLDER/drift-detection.py', '--cfg-path', '/tmp/tmpaqrk8ijv']
[2024-11-25T17:22:33.270+0000] {standard_task_runner.py:85} INFO - Job 4: Subtask detect_file
[2024-11-25T17:22:33.468+0000] {task_command.py:416} INFO - Running <TaskInstance: drift_detection_dag.detect_file scheduled__2024-11-24T16:00:00+00:00 [running]> on host 52f638c944a9
[2024-11-25T17:22:33.654+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='drift_detection_dag' AIRFLOW_CTX_TASK_ID='detect_file' AIRFLOW_CTX_EXECUTION_DATE='2024-11-24T16:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-24T16:00:00+00:00'
[2024-11-25T17:22:33.666+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:23:33.718+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:24:33.775+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:25:33.832+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:26:33.893+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:27:33.947+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:28:34.005+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:29:34.062+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:30:34.120+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:31:34.178+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:32:34.236+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:33:34.299+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:34:34.352+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:35:34.414+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:36:34.425+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:37:34.486+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:38:34.543+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:39:34.600+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:40:34.658+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:41:34.707+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:42:34.764+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:43:34.816+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:44:34.880+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:45:34.938+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:46:34.996+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:47:35.054+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:48:35.111+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:49:35.169+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:50:35.226+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:51:35.285+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:52:35.343+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:53:35.401+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:54:35.459+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:55:35.519+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:56:35.580+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:57:35.636+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:58:35.694+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T17:59:35.751+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:00:35.809+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:01:35.827+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:02:35.890+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:03:35.900+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:04:35.961+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
